age,d13c,d18o
26.039,0.738,1.409
26.040,0.603,1.566
26.042,0.384,1.371
26.043,0.507,1.355
26.046,0.811,1.609
26.049,0.671,1.843
26.052,0.763,1.940
26.056,0.667,1.273
26.058,0.504,1.673
26.059,0.721,1.349
26.063,0.761,1.606
26.063,0.516,1.613
26.069,0.525,1.626
26.069,0.733,1.741
26.069,0.660,1.940
26.072,0.705,1.565
26.072,0.549,1.670
26.076,0.409,1.362
26.077,0.241,1.560
26.077,0.512,1.784
26.079,0.490,1.545
26.079,0.673,1.588
26.084,0.533,1.722
26.084,0.567,1.490
26.088,0.614,1.506
26.088,0.519,1.691
26.090,0.710,1.581
26.090,0.455,1.368
26.092,0.528,1.529
26.095,0.570,1.681
26.099,0.473,1.488
26.100,0.269,1.297
26.101,0.280,1.600
26.102,0.468,1.437
26.104,0.396,1.565
26.105,0.118,1.425
26.107,-0.034,1.436
26.109,0.555,1.366
26.110,0.618,1.343
26.112,0.608,1.351
26.114,0.672,1.354
26.117,0.612,1.314
26.119,0.166,1.409
26.120,0.400,1.660
26.121,0.232,1.483
26.124,0.113,1.400
26.126,0.286,1.630
26.129,0.027,1.652
26.131,0.370,1.797
26.137,0.913,1.557
26.150,0.524,1.572
26.157,0.803,1.638
26.163,0.934,1.714
26.165,0.860,1.910
26.168,0.617,1.555
26.172,0.735,1.815
26.179,0.690,1.730
26.183,0.701,1.885
26.188,0.462,1.470
26.190,0.666,1.825
26.193,0.590,1.654
26.198,0.628,1.560
26.205,0.689,1.516
26.209,0.784,1.695
26.212,0.700,1.697
26.214,0.488,1.454
26.216,0.794,1.588
26.218,0.518,1.383
26.223,0.488,1.594
26.227,0.840,1.727
26.229,0.481,1.446
26.232,0.543,1.877
26.233,0.575,1.858
26.235,0.502,1.630
26.239,0.824,1.465
26.239,0.904,2.143
26.240,0.722,1.493
26.243,0.813,1.681
26.247,0.727,1.543
26.250,0.972,1.781
26.255,0.686,1.776
26.259,0.883,1.791
26.265,0.988,1.575
26.266,0.715,1.159
26.268,0.966,1.450
26.269,0.877,1.678
26.270,0.780,1.700
26.271,0.860,1.622
26.272,0.777,1.660
26.273,0.840,1.667
26.275,0.554,1.735
26.276,0.650,1.452
26.280,0.663,1.833
26.285,1.046,1.971
26.290,0.485,1.746
26.293,0.930,1.617
26.297,0.770,1.801
26.299,0.898,
26.302,0.656,1.813
26.308,0.547,1.730
26.312,0.670,1.940
26.313,0.616,1.938
26.315,0.388,1.635
26.321,0.806,1.950
26.327,1.021,1.753
26.339,0.744,1.949
26.346,1.085,1.820
26.352,0.619,2.004
26.357,1.196,1.535
26.359,0.753,1.581
