"depth","age","d13c","d18o","auth"
317.01,13870.5,1.432,1.984,"Tian"
317.09,13874,1.236,1.686,"Tian"
317.17,13877.4,1.155,1.802,"Tian"
317.25,13880.9,1.233,1.823,"Tian"
317.33,13884.4,0.995,1.755,"Tian"
317.41,13887.9,1.11,1.659,"Tian"
317.65,13898.3,0.862,1.696,"Tian"
317.73,13901.8,1.343,1.587,"Tian"
317.81,13905.3,1.494,1.844,"Tian"
317.89,13908.8,1.056,1.173,"Tian"
317.95,13912.5,1.312,1.527,"Tian"
318.03,13917.3,1.152,1.374,"Tian"
318.11,13922.2,1.282,1.566,"Tian"
318.19,13927,1.121,1.73,"Tian"
318.27,13931.9,1.279,1.873,"Tian"
318.35,13936.7,1.119,1.853,"Tian"
318.43,13941.6,1.138,1.829,"Tian"
318.51,13946.5,1.125,1.725,"Tian"
318.59,13952.7,1.171,1.767,"Tian"
318.67,13959.3,1.169,1.701,"Tian"
318.75,13965.9,1.1,1.697,"Tian"
318.83,13972.5,1.136,1.476,"Tian"
318.91,13979.1,1.032,1.519,"Tian"
318.99,13985.7,0.565,1.396,"Tian"
319.07,13992.1,0.673,1.283,"Tian"
319.15,13996.4,1.009,1.542,"Tian"
319.31,14005,0.953,1.358,"Tian"
319.39,14009.3,1.281,1.658,"Tian"
319.45,14012.6,1.084,1.457,"Tian"
319.53,14016.9,1.106,1.415,"Tian"
319.61,14021.2,0.821,1.574,"Tian"
319.64,14022.8,1.332,1.396,"Tian"
319.74,14028.2,1.337,1.331,"Tian"
319.84,14031.9,1.271,1.697,"Tian"
319.94,14035.6,1.312,1.588,"Tian"
320.14,14043,1.357,1.717,"Tian"
320.24,14046.7,1.32,1.613,"Tian"
320.34,14050.5,0.901,1.569,"Tian"
320.44,14054.2,1.106,1.528,"Tian"
320.54,14057.9,0.966,1.525,"Tian"
320.64,14061.6,1.157,1.502,"Tian"
320.84,14069,1.162,1.247,"Tian"
320.94,14075,1.002,1.479,"Tian"
